,region,year,sex,status,percentage
858,Kymenlaakso,2001,combined,"Employed, as % of total population",40.4
859,Kymenlaakso,2001,combined,"Students, as % of total population",6.8
860,Kymenlaakso,2001,female,"Employed, as % of total population",37.1
861,Kymenlaakso,2001,female,"Students, as % of total population",6.8
862,Kymenlaakso,2001,male,"Employed, as % of total population",43.8
863,Kymenlaakso,2001,male,"Students, as % of total population",6.8
864,Kymenlaakso,2002,combined,"Employed, as % of total population",40.5
865,Kymenlaakso,2002,combined,"Students, as % of total population",6.8
866,Kymenlaakso,2002,female,"Employed, as % of total population",37.5
867,Kymenlaakso,2002,female,"Students, as % of total population",6.8
868,Kymenlaakso,2002,male,"Employed, as % of total population",43.6
869,Kymenlaakso,2002,male,"Students, as % of total population",6.9
870,Kymenlaakso,2003,combined,"Employed, as % of total population",40.7
871,Kymenlaakso,2003,combined,"Students, as % of total population",6.8
872,Kymenlaakso,2003,female,"Employed, as % of total population",37.9
873,Kymenlaakso,2003,female,"Students, as % of total population",6.8
874,Kymenlaakso,2003,male,"Employed, as % of total population",43.6
875,Kymenlaakso,2003,male,"Students, as % of total population",6.7
876,Kymenlaakso,2004,combined,"Employed, as % of total population",40.9
877,Kymenlaakso,2004,combined,"Students, as % of total population",6.6
878,Kymenlaakso,2004,female,"Employed, as % of total population",38.0
879,Kymenlaakso,2004,female,"Students, as % of total population",6.6
880,Kymenlaakso,2004,male,"Employed, as % of total population",43.8
881,Kymenlaakso,2004,male,"Students, as % of total population",6.6
882,Kymenlaakso,2005,combined,"Employed, as % of total population",40.5
883,Kymenlaakso,2005,combined,"Students, as % of total population",7.1
884,Kymenlaakso,2005,female,"Employed, as % of total population",37.6
885,Kymenlaakso,2005,female,"Students, as % of total population",7.1
886,Kymenlaakso,2005,male,"Employed, as % of total population",43.6
887,Kymenlaakso,2005,male,"Students, as % of total population",7.0
888,Kymenlaakso,2006,combined,"Employed, as % of total population",41.0
889,Kymenlaakso,2006,combined,"Students, as % of total population",7.0
890,Kymenlaakso,2006,female,"Employed, as % of total population",38.3
891,Kymenlaakso,2006,female,"Students, as % of total population",7.0
892,Kymenlaakso,2006,male,"Employed, as % of total population",43.7
893,Kymenlaakso,2006,male,"Students, as % of total population",7.0
894,Kymenlaakso,2007,combined,"Employed, as % of total population",41.5
895,Kymenlaakso,2007,combined,"Students, as % of total population",7.0
896,Kymenlaakso,2007,female,"Employed, as % of total population",39.0
897,Kymenlaakso,2007,female,"Students, as % of total population",7.0
898,Kymenlaakso,2007,male,"Employed, as % of total population",44.2
899,Kymenlaakso,2007,male,"Students, as % of total population",6.9
900,Kymenlaakso,2008,combined,"Employed, as % of total population",41.1
901,Kymenlaakso,2008,combined,"Students, as % of total population",6.7
902,Kymenlaakso,2008,female,"Employed, as % of total population",39.2
903,Kymenlaakso,2008,female,"Students, as % of total population",6.7
904,Kymenlaakso,2008,male,"Employed, as % of total population",43.1
905,Kymenlaakso,2008,male,"Students, as % of total population",6.7
906,Kymenlaakso,2009,combined,"Employed, as % of total population",39.1
907,Kymenlaakso,2009,combined,"Students, as % of total population",7.0
908,Kymenlaakso,2009,female,"Employed, as % of total population",38.4
909,Kymenlaakso,2009,female,"Students, as % of total population",6.8
910,Kymenlaakso,2009,male,"Employed, as % of total population",39.8
911,Kymenlaakso,2009,male,"Students, as % of total population",7.1
912,Kymenlaakso,2010,combined,"Employed, as % of total population",39.5
913,Kymenlaakso,2010,combined,"Students, as % of total population",6.8
914,Kymenlaakso,2010,female,"Employed, as % of total population",38.5
915,Kymenlaakso,2010,female,"Students, as % of total population",6.6
916,Kymenlaakso,2010,male,"Employed, as % of total population",40.6
917,Kymenlaakso,2010,male,"Students, as % of total population",6.9
918,Kymenlaakso,2011,combined,"Employed, as % of total population",39.4
919,Kymenlaakso,2011,combined,"Students, as % of total population",6.7
920,Kymenlaakso,2011,female,"Employed, as % of total population",38.6
921,Kymenlaakso,2011,female,"Students, as % of total population",6.5
922,Kymenlaakso,2011,male,"Employed, as % of total population",40.2
923,Kymenlaakso,2011,male,"Students, as % of total population",6.9
924,Kymenlaakso,2012,combined,"Employed, as % of total population",38.9
925,Kymenlaakso,2012,combined,"Students, as % of total population",6.5
926,Kymenlaakso,2012,female,"Employed, as % of total population",38.7
927,Kymenlaakso,2012,female,"Students, as % of total population",6.2
928,Kymenlaakso,2012,male,"Employed, as % of total population",39.1
929,Kymenlaakso,2012,male,"Students, as % of total population",6.8
930,Kymenlaakso,2013,combined,"Employed, as % of total population",38.0
931,Kymenlaakso,2013,combined,"Students, as % of total population",6.2
932,Kymenlaakso,2013,female,"Employed, as % of total population",37.9
933,Kymenlaakso,2013,female,"Students, as % of total population",6.1
934,Kymenlaakso,2013,male,"Employed, as % of total population",38.2
935,Kymenlaakso,2013,male,"Students, as % of total population",6.4
936,Kymenlaakso,2014,combined,"Employed, as % of total population",37.3
937,Kymenlaakso,2014,combined,"Students, as % of total population",6.5
938,Kymenlaakso,2014,female,"Employed, as % of total population",37.1
939,Kymenlaakso,2014,female,"Students, as % of total population",6.3
940,Kymenlaakso,2014,male,"Employed, as % of total population",37.5
941,Kymenlaakso,2014,male,"Students, as % of total population",6.7
942,Kymenlaakso,2015,combined,"Employed, as % of total population",36.4
943,Kymenlaakso,2015,combined,"Students, as % of total population",6.6
944,Kymenlaakso,2015,female,"Employed, as % of total population",36.2
945,Kymenlaakso,2015,female,"Students, as % of total population",6.3
946,Kymenlaakso,2015,male,"Employed, as % of total population",36.7
947,Kymenlaakso,2015,male,"Students, as % of total population",6.8
948,Kymenlaakso,2016,combined,"Employed, as % of total population",36.6
949,Kymenlaakso,2016,combined,"Students, as % of total population",6.4
950,Kymenlaakso,2016,female,"Employed, as % of total population",36.0
951,Kymenlaakso,2016,female,"Students, as % of total population",6.2
952,Kymenlaakso,2016,male,"Employed, as % of total population",37.1
953,Kymenlaakso,2016,male,"Students, as % of total population",6.7
954,Kymenlaakso,2017,combined,"Employed, as % of total population",37.5
955,Kymenlaakso,2017,combined,"Students, as % of total population",6.3
956,Kymenlaakso,2017,female,"Employed, as % of total population",36.7
957,Kymenlaakso,2017,female,"Students, as % of total population",6.0
958,Kymenlaakso,2017,male,"Employed, as % of total population",38.3
959,Kymenlaakso,2017,male,"Students, as % of total population",6.5
960,Kymenlaakso,2018,combined,"Employed, as % of total population",38.5
961,Kymenlaakso,2018,combined,"Students, as % of total population",6.0
962,Kymenlaakso,2018,female,"Employed, as % of total population",37.8
963,Kymenlaakso,2018,female,"Students, as % of total population",5.7
964,Kymenlaakso,2018,male,"Employed, as % of total population",39.2
965,Kymenlaakso,2018,male,"Students, as % of total population",6.3
966,Kymenlaakso,2019,combined,"Employed, as % of total population",38.3
967,Kymenlaakso,2019,combined,"Students, as % of total population",6.1
968,Kymenlaakso,2019,female,"Employed, as % of total population",37.6
969,Kymenlaakso,2019,female,"Students, as % of total population",5.9
970,Kymenlaakso,2019,male,"Employed, as % of total population",39.0
971,Kymenlaakso,2019,male,"Students, as % of total population",6.3
972,Kymenlaakso,2020,combined,"Employed, as % of total population",37.4
973,Kymenlaakso,2020,combined,"Students, as % of total population",6.2
974,Kymenlaakso,2020,female,"Employed, as % of total population",37.1
975,Kymenlaakso,2020,female,"Students, as % of total population",6.0
976,Kymenlaakso,2020,male,"Employed, as % of total population",37.7
977,Kymenlaakso,2020,male,"Students, as % of total population",6.5
978,Kymenlaakso,2021,combined,"Employed, as % of total population",38.4
979,Kymenlaakso,2021,combined,"Students, as % of total population",6.2
980,Kymenlaakso,2021,female,"Employed, as % of total population",37.6
981,Kymenlaakso,2021,female,"Students, as % of total population",6.0
982,Kymenlaakso,2021,male,"Employed, as % of total population",39.3
983,Kymenlaakso,2021,male,"Students, as % of total population",6.4
984,Kymenlaakso,2022,combined,"Employed, as % of total population",39.1
985,Kymenlaakso,2022,combined,"Students, as % of total population",6.1
986,Kymenlaakso,2022,female,"Employed, as % of total population",38.2
987,Kymenlaakso,2022,female,"Students, as % of total population",5.9
988,Kymenlaakso,2022,male,"Employed, as % of total population",39.9
989,Kymenlaakso,2022,male,"Students, as % of total population",6.3
990,Lapland,1990,combined,"Employed, as % of total population",42.8
991,Lapland,1990,combined,"Students, as % of total population",7.7
992,Lapland,1990,female,"Employed, as % of total population",41.2
993,Lapland,1990,female,"Students, as % of total population",8.4
994,Lapland,1990,male,"Employed, as % of total population",44.4
995,Lapland,1990,male,"Students, as % of total population",7.0
996,Lapland,1991,combined,"Employed, as % of total population",39.3
997,Lapland,1991,combined,"Students, as % of total population",8.2
998,Lapland,1991,female,"Employed, as % of total population",38.4
999,Lapland,1991,female,"Students, as % of total population",9.0
1000,Lapland,1991,male,"Employed, as % of total population",40.2
1001,Lapland,1991,male,"Students, as % of total population",7.5
1002,Lapland,1992,combined,"Employed, as % of total population",35.7
1003,Lapland,1992,combined,"Students, as % of total population",8.4
1004,Lapland,1992,female,"Employed, as % of total population",34.7
1005,Lapland,1992,female,"Students, as % of total population",9.1
1006,Lapland,1992,male,"Employed, as % of total population",36.6
1007,Lapland,1992,male,"Students, as % of total population",7.8
1008,Lapland,1993,combined,"Employed, as % of total population",32.9
1009,Lapland,1993,combined,"Students, as % of total population",9.2
1010,Lapland,1993,female,"Employed, as % of total population",32.1
1011,Lapland,1993,female,"Students, as % of total population",9.9
1012,Lapland,1993,male,"Employed, as % of total population",33.8
1013,Lapland,1993,male,"Students, as % of total population",8.6
1014,Lapland,1994,combined,"Employed, as % of total population",33.1
1015,Lapland,1994,combined,"Students, as % of total population",9.7
1016,Lapland,1994,female,"Employed, as % of total population",32.0
1017,Lapland,1994,female,"Students, as % of total population",10.2
1018,Lapland,1994,male,"Employed, as % of total population",34.1
1019,Lapland,1994,male,"Students, as % of total population",9.3
1020,Lapland,1995,combined,"Employed, as % of total population",32.7
1021,Lapland,1995,combined,"Students, as % of total population",9.9
1022,Lapland,1995,female,"Employed, as % of total population",31.7
1023,Lapland,1995,female,"Students, as % of total population",10.3
1024,Lapland,1995,male,"Employed, as % of total population",33.7
1025,Lapland,1995,male,"Students, as % of total population",9.6
1026,Lapland,1996,combined,"Employed, as % of total population",32.9
1027,Lapland,1996,combined,"Students, as % of total population",9.8
1028,Lapland,1996,female,"Employed, as % of total population",32.3
1029,Lapland,1996,female,"Students, as % of total population",10.1
1030,Lapland,1996,male,"Employed, as % of total population",33.5
1031,Lapland,1996,male,"Students, as % of total population",9.5
1032,Lapland,1997,combined,"Employed, as % of total population",34.0
1033,Lapland,1997,combined,"Students, as % of total population",10.0
1034,Lapland,1997,female,"Employed, as % of total population",33.0
1035,Lapland,1997,female,"Students, as % of total population",10.3
1036,Lapland,1997,male,"Employed, as % of total population",35.0
1037,Lapland,1997,male,"Students, as % of total population",9.6
1038,Lapland,1998,combined,"Employed, as % of total population",35.0
1039,Lapland,1998,combined,"Students, as % of total population",9.4
1040,Lapland,1998,female,"Employed, as % of total population",33.9
1041,Lapland,1998,female,"Students, as % of total population",9.6
1042,Lapland,1998,male,"Employed, as % of total population",36.2
1043,Lapland,1998,male,"Students, as % of total population",9.1
1044,Lapland,1999,combined,"Employed, as % of total population",35.7
1045,Lapland,1999,combined,"Students, as % of total population",9.2
1046,Lapland,1999,female,"Employed, as % of total population",34.7
1047,Lapland,1999,female,"Students, as % of total population",9.4
1048,Lapland,1999,male,"Employed, as % of total population",36.7
1049,Lapland,1999,male,"Students, as % of total population",9.1
1050,Lapland,2000,combined,"Employed, as % of total population",36.3
1051,Lapland,2000,combined,"Students, as % of total population",9.3
1052,Lapland,2000,female,"Employed, as % of total population",35.2
1053,Lapland,2000,female,"Students, as % of total population",9.6
1054,Lapland,2000,male,"Employed, as % of total population",37.3
1055,Lapland,2000,male,"Students, as % of total population",9.1
1056,Lapland,2001,combined,"Employed, as % of total population",36.4
1057,Lapland,2001,combined,"Students, as % of total population",8.9
1058,Lapland,2001,female,"Employed, as % of total population",35.6
1059,Lapland,2001,female,"Students, as % of total population",8.9
1060,Lapland,2001,male,"Employed, as % of total population",37.2
1061,Lapland,2001,male,"Students, as % of total population",8.8
1062,Lapland,2002,combined,"Employed, as % of total population",37.1
1063,Lapland,2002,combined,"Students, as % of total population",9.1
1064,Lapland,2002,female,"Employed, as % of total population",36.4
1065,Lapland,2002,female,"Students, as % of total population",9.3
1066,Lapland,2002,male,"Employed, as % of total population",37.8
1067,Lapland,2002,male,"Students, as % of total population",8.9
1068,Lapland,2003,combined,"Employed, as % of total population",37.4
1069,Lapland,2003,combined,"Students, as % of total population",9.1
1070,Lapland,2003,female,"Employed, as % of total population",36.6
1071,Lapland,2003,female,"Students, as % of total population",9.4
1072,Lapland,2003,male,"Employed, as % of total population",38.2
1073,Lapland,2003,male,"Students, as % of total population",8.9
1074,Lapland,2004,combined,"Employed, as % of total population",37.5
1075,Lapland,2004,combined,"Students, as % of total population",9.1
1076,Lapland,2004,female,"Employed, as % of total population",36.6
1077,Lapland,2004,female,"Students, as % of total population",9.4
1078,Lapland,2004,male,"Employed, as % of total population",38.4
1079,Lapland,2004,male,"Students, as % of total population",8.8
1080,Lapland,2005,combined,"Employed, as % of total population",37.4
1081,Lapland,2005,combined,"Students, as % of total population",9.5
1082,Lapland,2005,female,"Employed, as % of total population",36.3
1083,Lapland,2005,female,"Students, as % of total population",9.9
1084,Lapland,2005,male,"Employed, as % of total population",38.4
1085,Lapland,2005,male,"Students, as % of total population",9.2
1086,Lapland,2006,combined,"Employed, as % of total population",38.3
1087,Lapland,2006,combined,"Students, as % of total population",9.4
1088,Lapland,2006,female,"Employed, as % of total population",37.0
1089,Lapland,2006,female,"Students, as % of total population",9.8
1090,Lapland,2006,male,"Employed, as % of total population",39.5
1091,Lapland,2006,male,"Students, as % of total population",9.1
1092,Lapland,2007,combined,"Employed, as % of total population",39.3
1093,Lapland,2007,combined,"Students, as % of total population",9.3
1094,Lapland,2007,female,"Employed, as % of total population",38.0
1095,Lapland,2007,female,"Students, as % of total population",9.6
1096,Lapland,2007,male,"Employed, as % of total population",40.5
1097,Lapland,2007,male,"Students, as % of total population",8.9
1098,Lapland,2008,combined,"Employed, as % of total population",39.2
1099,Lapland,2008,combined,"Students, as % of total population",9.0
1100,Lapland,2008,female,"Employed, as % of total population",38.7
1101,Lapland,2008,female,"Students, as % of total population",9.3
1102,Lapland,2008,male,"Employed, as % of total population",39.7
1103,Lapland,2008,male,"Students, as % of total population",8.7
1104,Lapland,2009,combined,"Employed, as % of total population",38.0
1105,Lapland,2009,combined,"Students, as % of total population",9.0
1106,Lapland,2009,female,"Employed, as % of total population",38.1
1107,Lapland,2009,female,"Students, as % of total population",9.3
1108,Lapland,2009,male,"Employed, as % of total population",37.9
1109,Lapland,2009,male,"Students, as % of total population",8.7
1110,Lapland,2010,combined,"Employed, as % of total population",38.8
1111,Lapland,2010,combined,"Students, as % of total population",8.8
1112,Lapland,2010,female,"Employed, as % of total population",38.6
1113,Lapland,2010,female,"Students, as % of total population",9.1
1114,Lapland,2010,male,"Employed, as % of total population",39.0
1115,Lapland,2010,male,"Students, as % of total population",8.6
1116,Lapland,2011,combined,"Employed, as % of total population",39.0
1117,Lapland,2011,combined,"Students, as % of total population",8.6
1118,Lapland,2011,female,"Employed, as % of total population",38.8
1119,Lapland,2011,female,"Students, as % of total population",8.7
1120,Lapland,2011,male,"Employed, as % of total population",39.3
1121,Lapland,2011,male,"Students, as % of total population",8.4
1122,Lapland,2012,combined,"Employed, as % of total population",38.8
1123,Lapland,2012,combined,"Students, as % of total population",8.3
1124,Lapland,2012,female,"Employed, as % of total population",39.2
1125,Lapland,2012,female,"Students, as % of total population",8.4
1126,Lapland,2012,male,"Employed, as % of total population",38.4
1127,Lapland,2012,male,"Students, as % of total population",8.2
1128,Lapland,2013,combined,"Employed, as % of total population",38.0
1129,Lapland,2013,combined,"Students, as % of total population",7.9
1130,Lapland,2013,female,"Employed, as % of total population",38.7
1131,Lapland,2013,female,"Students, as % of total population",8.0
1132,Lapland,2013,male,"Employed, as % of total population",37.3
1133,Lapland,2013,male,"Students, as % of total population",7.8
1134,Lapland,2014,combined,"Employed, as % of total population",37.9
1135,Lapland,2014,combined,"Students, as % of total population",7.8
1136,Lapland,2014,female,"Employed, as % of total population",38.6
1137,Lapland,2014,female,"Students, as % of total population",7.9
1138,Lapland,2014,male,"Employed, as % of total population",37.1
1139,Lapland,2014,male,"Students, as % of total population",7.7
1140,Lapland,2015,combined,"Employed, as % of total population",37.7
1141,Lapland,2015,combined,"Students, as % of total population",7.5
1142,Lapland,2015,female,"Employed, as % of total population",38.5
1143,Lapland,2015,female,"Students, as % of total population",7.6
1144,Lapland,2015,male,"Employed, as % of total population",37.0
1145,Lapland,2015,male,"Students, as % of total population",7.5
1146,Lapland,2016,combined,"Employed, as % of total population",38.3
1147,Lapland,2016,combined,"Students, as % of total population",7.4
1148,Lapland,2016,female,"Employed, as % of total population",38.8
1149,Lapland,2016,female,"Students, as % of total population",7.5
1150,Lapland,2016,male,"Employed, as % of total population",37.8
1151,Lapland,2016,male,"Students, as % of total population",7.3
1152,Lapland,2017,combined,"Employed, as % of total population",39.3
1153,Lapland,2017,combined,"Students, as % of total population",7.1
1154,Lapland,2017,female,"Employed, as % of total population",39.7
1155,Lapland,2017,female,"Students, as % of total population",7.2
1156,Lapland,2017,male,"Employed, as % of total population",38.8
1157,Lapland,2017,male,"Students, as % of total population",6.9
1158,Lapland,2018,combined,"Employed, as % of total population",40.1
1159,Lapland,2018,combined,"Students, as % of total population",6.7
1160,Lapland,2018,female,"Employed, as % of total population",40.5
1161,Lapland,2018,female,"Students, as % of total population",6.8
1162,Lapland,2018,male,"Employed, as % of total population",39.7
1163,Lapland,2018,male,"Students, as % of total population",6.6
1164,Lapland,2019,combined,"Employed, as % of total population",40.5
1165,Lapland,2019,combined,"Students, as % of total population",6.6
1166,Lapland,2019,female,"Employed, as % of total population",40.9
1167,Lapland,2019,female,"Students, as % of total population",6.8
1168,Lapland,2019,male,"Employed, as % of total population",40.2
1169,Lapland,2019,male,"Students, as % of total population",6.4
1170,Lapland,2020,combined,"Employed, as % of total population",38.7
1171,Lapland,2020,combined,"Students, as % of total population",6.8
1172,Lapland,2020,female,"Employed, as % of total population",39.2
1173,Lapland,2020,female,"Students, as % of total population",7.1
1174,Lapland,2020,male,"Employed, as % of total population",38.2
1175,Lapland,2020,male,"Students, as % of total population",6.5
1176,Lapland,2021,combined,"Employed, as % of total population",40.4
1177,Lapland,2021,combined,"Students, as % of total population",6.8
1178,Lapland,2021,female,"Employed, as % of total population",40.6
1179,Lapland,2021,female,"Students, as % of total population",7.1
1180,Lapland,2021,male,"Employed, as % of total population",40.1
1181,Lapland,2021,male,"Students, as % of total population",6.5
1182,Lapland,2022,combined,"Employed, as % of total population",41.3
1183,Lapland,2022,combined,"Students, as % of total population",6.3
1184,Lapland,2022,female,"Employed, as % of total population",41.8
1185,Lapland,2022,female,"Students, as % of total population",6.6
1186,Lapland,2022,male,"Employed, as % of total population",40.8
1187,Lapland,2022,male,"Students, as % of total population",6.1
1188,North Karelia,1990,combined,"Employed, as % of total population",40.9
1189,North Karelia,1990,combined,"Students, as % of total population",7.1
1190,North Karelia,1990,female,"Employed, as % of total population",38.5
1191,North Karelia,1990,female,"Students, as % of total population",7.7
1192,North Karelia,1990,male,"Employed, as % of total population",43.4
1193,North Karelia,1990,male,"Students, as % of total population",6.5
1194,North Karelia,1991,combined,"Employed, as % of total population",38.2
1195,North Karelia,1991,combined,"Students, as % of total population",7.6
1196,North Karelia,1991,female,"Employed, as % of total population",36.4
1197,North Karelia,1991,female,"Students, as % of total population",8.3
1198,North Karelia,1991,male,"Employed, as % of total population",40.0
1199,North Karelia,1991,male,"Students, as % of total population",7.0
1200,North Karelia,1992,combined,"Employed, as % of total population",35.3
1201,North Karelia,1992,combined,"Students, as % of total population",7.9
1202,North Karelia,1992,female,"Employed, as % of total population",33.9
1203,North Karelia,1992,female,"Students, as % of total population",8.5
1204,North Karelia,1992,male,"Employed, as % of total population",36.6
1205,North Karelia,1992,male,"Students, as % of total population",7.3
1206,North Karelia,1993,combined,"Employed, as % of total population",33.0
1207,North Karelia,1993,combined,"Students, as % of total population",8.7
1208,North Karelia,1993,female,"Employed, as % of total population",31.8
1209,North Karelia,1993,female,"Students, as % of total population",9.3
1210,North Karelia,1993,male,"Employed, as % of total population",34.2
1211,North Karelia,1993,male,"Students, as % of total population",8.1
1212,North Karelia,1994,combined,"Employed, as % of total population",33.0
1213,North Karelia,1994,combined,"Students, as % of total population",9.0
1214,North Karelia,1994,female,"Employed, as % of total population",31.5
1215,North Karelia,1994,female,"Students, as % of total population",9.4
1216,North Karelia,1994,male,"Employed, as % of total population",34.5
1217,North Karelia,1994,male,"Students, as % of total population",8.6
1218,North Karelia,1995,combined,"Employed, as % of total population",32.6
1219,North Karelia,1995,combined,"Students, as % of total population",9.3
1220,North Karelia,1995,female,"Employed, as % of total population",31.2
1221,North Karelia,1995,female,"Students, as % of total population",9.8
1222,North Karelia,1995,male,"Employed, as % of total population",34.2
1223,North Karelia,1995,male,"Students, as % of total population",8.9
1224,North Karelia,1996,combined,"Employed, as % of total population",32.4
1225,North Karelia,1996,combined,"Students, as % of total population",9.0
1226,North Karelia,1996,female,"Employed, as % of total population",31.1
1227,North Karelia,1996,female,"Students, as % of total population",9.3
1228,North Karelia,1996,male,"Employed, as % of total population",33.7
1229,North Karelia,1996,male,"Students, as % of total population",8.7
1230,North Karelia,1997,combined,"Employed, as % of total population",33.4
1231,North Karelia,1997,combined,"Students, as % of total population",9.2
1232,North Karelia,1997,female,"Employed, as % of total population",31.7
1233,North Karelia,1997,female,"Students, as % of total population",9.4
1234,North Karelia,1997,male,"Employed, as % of total population",35.1
1235,North Karelia,1997,male,"Students, as % of total population",9.0
1236,North Karelia,1998,combined,"Employed, as % of total population",34.5
1237,North Karelia,1998,combined,"Students, as % of total population",8.7
1238,North Karelia,1998,female,"Employed, as % of total population",32.7
1239,North Karelia,1998,female,"Students, as % of total population",8.9
1240,North Karelia,1998,male,"Employed, as % of total population",36.4
1241,North Karelia,1998,male,"Students, as % of total population",8.6
1242,North Karelia,1999,combined,"Employed, as % of total population",35.4
1243,North Karelia,1999,combined,"Students, as % of total population",8.7
1244,North Karelia,1999,female,"Employed, as % of total population",33.6
1245,North Karelia,1999,female,"Students, as % of total population",8.9
1246,North Karelia,1999,male,"Employed, as % of total population",37.1
1247,North Karelia,1999,male,"Students, as % of total population",8.5
1248,North Karelia,2000,combined,"Employed, as % of total population",36.1
1249,North Karelia,2000,combined,"Students, as % of total population",8.8
1250,North Karelia,2000,female,"Employed, as % of total population",34.4
1251,North Karelia,2000,female,"Students, as % of total population",9.0
1252,North Karelia,2000,male,"Employed, as % of total population",37.9
1253,North Karelia,2000,male,"Students, as % of total population",8.5
1254,North Karelia,2001,combined,"Employed, as % of total population",35.9
1255,North Karelia,2001,combined,"Students, as % of total population",8.7
1256,North Karelia,2001,female,"Employed, as % of total population",34.4
1257,North Karelia,2001,female,"Students, as % of total population",8.8
1258,North Karelia,2001,male,"Employed, as % of total population",37.5
1259,North Karelia,2001,male,"Students, as % of total population",8.6
1260,North Karelia,2002,combined,"Employed, as % of total population",36.4
1261,North Karelia,2002,combined,"Students, as % of total population",8.9
1262,North Karelia,2002,female,"Employed, as % of total population",34.8
1263,North Karelia,2002,female,"Students, as % of total population",9.0
1264,North Karelia,2002,male,"Employed, as % of total population",37.9
1265,North Karelia,2002,male,"Students, as % of total population",8.8
1266,North Karelia,2003,combined,"Employed, as % of total population",36.6
1267,North Karelia,2003,combined,"Students, as % of total population",8.9
1268,North Karelia,2003,female,"Employed, as % of total population",35.0
1269,North Karelia,2003,female,"Students, as % of total population",9.1
1270,North Karelia,2003,male,"Employed, as % of total population",38.2
1271,North Karelia,2003,male,"Students, as % of total population",8.7
1272,North Karelia,2004,combined,"Employed, as % of total population",37.0
1273,North Karelia,2004,combined,"Students, as % of total population",8.9
1274,North Karelia,2004,female,"Employed, as % of total population",35.3
1275,North Karelia,2004,female,"Students, as % of total population",9.2
1276,North Karelia,2004,male,"Employed, as % of total population",38.8
1277,North Karelia,2004,male,"Students, as % of total population",8.7
1278,North Karelia,2005,combined,"Employed, as % of total population",37.2
1279,North Karelia,2005,combined,"Students, as % of total population",9.3
1280,North Karelia,2005,female,"Employed, as % of total population",35.2
1281,North Karelia,2005,female,"Students, as % of total population",9.6
1282,North Karelia,2005,male,"Employed, as % of total population",39.3
1283,North Karelia,2005,male,"Students, as % of total population",8.9
1284,North Karelia,2006,combined,"Employed, as % of total population",37.8
1285,North Karelia,2006,combined,"Students, as % of total population",9.4
1286,North Karelia,2006,female,"Employed, as % of total population",35.8
1287,North Karelia,2006,female,"Students, as % of total population",9.7
1288,North Karelia,2006,male,"Employed, as % of total population",39.8
1289,North Karelia,2006,male,"Students, as % of total population",9.1
1290,North Karelia,2007,combined,"Employed, as % of total population",38.3
1291,North Karelia,2007,combined,"Students, as % of total population",9.0
1292,North Karelia,2007,female,"Employed, as % of total population",36.6
1293,North Karelia,2007,female,"Students, as % of total population",9.1
1294,North Karelia,2007,male,"Employed, as % of total population",40.0
1295,North Karelia,2007,male,"Students, as % of total population",8.8
1296,North Karelia,2008,combined,"Employed, as % of total population",38.2
1297,North Karelia,2008,combined,"Students, as % of total population",8.7
1298,North Karelia,2008,female,"Employed, as % of total population",37.3
1299,North Karelia,2008,female,"Students, as % of total population",8.9
1300,North Karelia,2008,male,"Employed, as % of total population",39.1
1301,North Karelia,2008,male,"Students, as % of total population",8.6
1302,North Karelia,2009,combined,"Employed, as % of total population",37.1
1303,North Karelia,2009,combined,"Students, as % of total population",9.1
1304,North Karelia,2009,female,"Employed, as % of total population",36.8
1305,North Karelia,2009,female,"Students, as % of total population",9.2
1306,North Karelia,2009,male,"Employed, as % of total population",37.3
1307,North Karelia,2009,male,"Students, as % of total population",9.0
1308,North Karelia,2010,combined,"Employed, as % of total population",38.0
1309,North Karelia,2010,combined,"Students, as % of total population",9.1
1310,North Karelia,2010,female,"Employed, as % of total population",37.3
1311,North Karelia,2010,female,"Students, as % of total population",9.2
1312,North Karelia,2010,male,"Employed, as % of total population",38.7
1313,North Karelia,2010,male,"Students, as % of total population",9.0
1314,North Karelia,2011,combined,"Employed, as % of total population",38.1
1315,North Karelia,2011,combined,"Students, as % of total population",8.6
1316,North Karelia,2011,female,"Employed, as % of total population",37.5
1317,North Karelia,2011,female,"Students, as % of total population",8.7
1318,North Karelia,2011,male,"Employed, as % of total population",38.7
1319,North Karelia,2011,male,"Students, as % of total population",8.5
1320,North Karelia,2012,combined,"Employed, as % of total population",37.7
1321,North Karelia,2012,combined,"Students, as % of total population",8.5
1322,North Karelia,2012,female,"Employed, as % of total population",37.5
1323,North Karelia,2012,female,"Students, as % of total population",8.5
1324,North Karelia,2012,male,"Employed, as % of total population",37.8
1325,North Karelia,2012,male,"Students, as % of total population",8.5
1326,North Karelia,2013,combined,"Employed, as % of total population",37.1
1327,North Karelia,2013,combined,"Students, as % of total population",8.3
1328,North Karelia,2013,female,"Employed, as % of total population",37.0
1329,North Karelia,2013,female,"Students, as % of total population",8.3
1330,North Karelia,2013,male,"Employed, as % of total population",37.3
1331,North Karelia,2013,male,"Students, as % of total population",8.4
1332,North Karelia,2014,combined,"Employed, as % of total population",36.7
1333,North Karelia,2014,combined,"Students, as % of total population",8.4
1334,North Karelia,2014,female,"Employed, as % of total population",37.0
1335,North Karelia,2014,female,"Students, as % of total population",8.4
1336,North Karelia,2014,male,"Employed, as % of total population",36.5
1337,North Karelia,2014,male,"Students, as % of total population",8.4
1338,North Karelia,2015,combined,"Employed, as % of total population",36.0
1339,North Karelia,2015,combined,"Students, as % of total population",8.3
1340,North Karelia,2015,female,"Employed, as % of total population",36.4
